Date,Price,Open,High,Low,Vol.,Change %,Bank Name
20-Sep,6.7,6.3,6.9,6.25,14.23M,8.06%,ACCESS
20-Aug,6.2,6.3,6.65,6.2,343.37M,-1.59%,ACCESS
20-Jul,6.3,6.55,6.6,6.1,117.45M,-3.82%,ACCESS
20-Jun,6.55,7.1,7.2,6.5,156.62M,-7.75%,ACCESS
20-May,7.1,6.6,7.65,6.1,474.55M,7.58%,ACCESS
20-Apr,6.6,5.95,7.1,5.45,335.88M,10.92%,ACCESS
20-Mar,5.95,8.2,9.1,5.3,551.52M,-27.44%,ACCESS
20-Feb,8.2,9.9,9.95,7.9,199.44M,-17.17%,ACCESS
20-Jan,9.9,10,12,9.1,738.45M,-1.00%,ACCESS
19-Dec,10,9.25,10.1,9,730.92M,8.11%,ACCESS
19-Nov,9.25,7.45,11,7.5,923.75M,24.16%,ACCESS
19-Oct,7.45,7.7,7.65,7.05,377.92M,-3.25%,ACCESS
19-Sep,7.7,6.5,8.2,6.45,793.63M,18.46%,ACCESS
19-Aug,6.5,6.55,6.8,5.45,392.31M,-0.76%,ACCESS
19-Jul,6.55,6.5,6.95,5.95,212.85M,0.77%,ACCESS
19-Jun,6.5,6.1,7,6.1,260.50M,6.56%,ACCESS
19-May,6.1,6.95,7.2,5.75,605.02M,-12.23%,ACCESS
19-Apr,6.95,6.45,7,5.3,454.39M,7.75%,ACCESS
19-Mar,6.45,5.7,7.55,5.5,656.72M,13.16%,ACCESS
19-Feb,5.7,5.75,7.45,5.7,631.26M,-0.87%,ACCESS
19-Jan,5.75,6.8,6.75,5.2,563.14M,-15.44%,ACCESS
18-Dec,6.8,7.75,8.85,6.75,310.23M,-12.26%,ACCESS
18-Nov,7.75,7.9,8.35,6.8,374.71M,-1.90%,ACCESS
18-Oct,7.9,8.15,8.5,7.8,240.42M,-3.07%,ACCESS
18-Sep,8.15,9.5,9.45,7.5,380.74M,-14.21%,ACCESS
18-Aug,9.5,10,10.1,8.85,183.45M,-5.00%,ACCESS
18-Jul,10,10.35,10.5,9.8,478.17M,-3.38%,ACCESS
18-Jun,10.35,10.85,11.2,10.15,471.99M,-0.48%,ACCESS
18-May,10.4,11.3,11.35,10.2,422.11M,-7.14%,ACCESS
18-Apr,11.2,11.1,12.45,11,444.62M,1.36%,ACCESS
18-Mar,11.05,13,13.5,10.65,1.69B,-15.00%,ACCESS
18-Feb,13,12.95,13.6,11.4,380.86M,0.39%,ACCESS
18-Jan,12.95,10.43,13.48,10.43,1.02B,23.92%,ACCESS
17-Dec,10.45,9.99,12,9.9,323.35M,4.50%,ACCESS
17-Nov,10,9.75,10.22,9.6,297.26M,2.04%,ACCESS
17-Oct,9.8,9.62,10,9.36,375.87M,1.77%,ACCESS
17-Sep,9.63,9.6,10.25,9.4,434.84M,-0.41%,ACCESS
17-Aug,9.67,10.05,10.5,9.48,963.22M,-3.78%,ACCESS
17-Jul,10.05,9.41,10.7,8.99,492.78M,8.06%,ACCESS
17-Jun,9.3,8,10.89,8,1.07B,16.83%,ACCESS
17-May,7.96,6.6,7.96,6.5,986.20M,19.70%,ACCESS
17-Apr,6.65,6.3,6.65,6.12,314.64M,5.89%,ACCESS
17-Mar,6.28,6.73,6.79,5.83,261.84M,-6.55%,ACCESS
17-Feb,6.72,6.6,6.94,6.59,109.75M,1.82%,ACCESS
17-Jan,6.6,5.71,7.18,5.8,264.24M,12.44%,ACCESS
16-Dec,5.87,5.32,5.98,5.23,171.57M,7.71%,ACCESS
16-Nov,5.45,5.65,5.86,5.13,271.08M,-3.54%,ACCESS
16-Oct,5.65,5.47,5.71,5.4,473.78M,1.80%,ACCESS
16-Sep,5.55,5.53,5.7,5.38,373.64M,0.36%,ACCESS
16-Aug,5.53,5.41,5.88,5.2,471.60M,-0.90%,ACCESS
16-Jul,5.58,5.7,5.82,5.16,414.86M,-2.96%,ACCESS
16-Jun,5.75,5.4,6.49,5.04,596.29M,1.41%,ACCESS
16-May,5.67,4.05,6.5,4.05,710.92M,40.00%,ACCESS
16-Apr,4.05,3.95,4.19,3.6,409.29M,6.86%,ACCESS
16-Mar,3.79,4.06,4.88,3.7,272.95M,-6.42%,ACCESS
16-Feb,4.05,4.3,4.3,4,344.91M,-2.41%,ACCESS
16-Jan,4.15,4.75,4.95,3.48,343.74M,-14.43%,ACCESS
15-Dec,4.85,4.8,5.11,4.53,255.50M,-2.02%,ACCESS
15-Nov,4.95,4.58,4.95,4.46,1.51B,7.61%,ACCESS
15-Oct,4.6,5.1,5.4,4.57,571.39M,-11.37%,ACCESS
15-Sep,5.19,5.39,5.4,4.66,949.23M,0.97%,ACCESS
15-Aug,5.14,4.9,5.14,4,1.04B,7.76%,ACCESS
15-Jul,4.77,5.6,5.62,4.75,642.22M,-15.58%,ACCESS
15-Jun,5.65,6.23,6.38,5.6,495.23M,-9.31%,ACCESS
15-May,6.23,6.14,6.35,5.97,532.28M,4.01%,ACCESS
15-Apr,5.99,6.4,7.02,5.95,655.88M,-1.80%,ACCESS
15-Mar,6.1,6.51,7.09,5.6,717.23M,-4.69%,ACCESS
15-Feb,6.4,5.12,6.89,4.74,1.02B,23.55%,ACCESS
15-Jan,5.18,6.28,6.46,4.5,714.03M,-21.52%,ACCESS
