Date,Price,Open,High,Low,Vol.,Change %,Bank Name
20-Sep,5,5,5.2,4.9,51.44M,2.04%,FBNH
20-Aug,4.9,5.05,5.3,4.9,399.70M,-2.00%,FBNH
20-Jul,5,5.25,5.3,4.9,359.19M,-4.76%,FBNH
20-Jun,5.25,5.35,5.6,5,555.68M,-1.87%,FBNH
20-May,5.35,4.6,5.85,4.55,889.55M,16.30%,FBNH
20-Apr,4.6,3.95,5,3.7,1.04B,16.46%,FBNH
20-Mar,3.95,4.7,5.8,3.6,1.30B,-15.96%,FBNH
20-Feb,4.7,6.55,6.35,4.6,450.39M,-28.24%,FBNH
20-Jan,6.55,6.15,7.7,6,472.08M,6.50%,FBNH
19-Dec,6.15,6.7,6.8,5.7,205.41M,-8.21%,FBNH
19-Nov,6.7,5.25,7.85,5.25,353.11M,27.62%,FBNH
19-Oct,5.25,5.5,5.5,5.2,233.55M,-4.55%,FBNH
19-Sep,5.5,4.75,5.8,4.35,465.74M,15.79%,FBNH
19-Aug,4.75,5.7,5.7,4.55,354.07M,-16.67%,FBNH
19-Jul,5.7,6.55,6.65,5.4,446.34M,-12.98%,FBNH
19-Jun,6.55,7.05,7.05,6.5,171.12M,-7.09%,FBNH
19-May,7.05,7.3,7.6,6.25,263.74M,-3.42%,FBNH
19-Apr,7.3,8.2,8.1,7,468.17M,-10.98%,FBNH
19-Mar,8.2,7.65,8.4,7.75,429.98M,7.19%,FBNH
19-Feb,7.65,7.3,9,7.35,449.25M,4.79%,FBNH
19-Jan,7.3,7.95,8,7.05,390.22M,-8.18%,FBNH
18-Dec,7.95,7.1,8.6,7.1,530.22M,11.97%,FBNH
18-Nov,7.1,8,8,6.75,368.68M,-11.25%,FBNH
18-Oct,8,8.9,9.65,8,158.64M,-10.11%,FBNH
18-Sep,8.9,8.8,9.35,7.9,170.10M,1.14%,FBNH
18-Aug,8.8,10.1,10.1,8.8,218.63M,-12.87%,FBNH
18-Jul,10.1,10.6,10.65,8.65,396.07M,-4.72%,FBNH
18-Jun,10.6,10.05,11.9,10.05,327.78M,4.43%,FBNH
18-May,10.15,12.6,12.6,8.8,279.38M,-18.80%,FBNH
18-Apr,12.5,12.45,13.9,11.7,548.13M,0.00%,FBNH
18-Mar,12.5,11.5,12.6,11.1,971.75M,8.23%,FBNH
18-Feb,11.55,13.6,13.9,10.6,771.19M,-17.20%,FBNH
18-Jan,13.95,8.99,15.16,8.73,1.20B,58.52%,FBNH
17-Dec,8.8,7.15,9.39,7.12,795.09M,23.25%,FBNH
17-Nov,7.14,6.17,7.35,6.17,819.93M,15.16%,FBNH
17-Oct,6.2,5.7,6.29,5.6,397.97M,9.93%,FBNH
17-Sep,5.64,5.64,6.02,5.14,210.37M,-1.05%,FBNH
17-Aug,5.7,6,6.34,5.61,396.87M,-5.00%,FBNH
17-Jul,6,6.25,6.44,5.56,597.61M,-5.96%,FBNH
17-Jun,6.38,5.56,7.79,5.56,1.05B,20.38%,FBNH
17-May,5.3,3.19,5.38,3.18,1.21B,67.19%,FBNH
17-Apr,3.17,3.05,3.72,3.04,322.73M,3.93%,FBNH
17-Mar,3.05,3.15,3.2,2.95,439.07M,-3.48%,FBNH
17-Feb,3.16,3.5,3.63,3.04,195.79M,-9.71%,FBNH
17-Jan,3.5,3.48,3.72,3.32,262.87M,4.48%,FBNH
16-Dec,3.35,3.1,3.59,3.06,215.62M,8.06%,FBNH
16-Nov,3.1,2.99,3.11,2.99,258.17M,3.33%,FBNH
16-Oct,3,3.19,3.2,2.95,249.83M,-5.06%,FBNH
16-Sep,3.16,3.13,3.2,2.95,361.85M,3.61%,FBNH
16-Aug,3.05,3.37,3.41,2.97,592.18M,-10.56%,FBNH
16-Jul,3.41,3.88,4.05,3.27,632.23M,-12.34%,FBNH
16-Jun,3.89,3.9,4.53,3.61,786.03M,-1.52%,FBNH
16-May,3.95,3.66,4.69,3.4,1.01B,9.72%,FBNH
16-Apr,3.6,3.2,3.87,3.17,499.36M,14.29%,FBNH
16-Mar,3.15,3.86,3.9,3,400.74M,-19.02%,FBNH
16-Feb,3.89,4,4.12,3.14,662.23M,-1.02%,FBNH
16-Jan,3.93,5,5.02,3.28,429.03M,-23.39%,FBNH
15-Dec,5.13,5.08,5.14,4.43,600.71M,-3.93%,FBNH
15-Nov,5.34,5.1,5.62,4.95,650.92M,4.71%,FBNH
15-Oct,5.1,6.44,6.33,4.95,282.18M,-17.74%,FBNH
15-Sep,6.2,6.44,7,5.95,459.56M,0.98%,FBNH
15-Aug,6.14,7.19,7.25,5.22,421.71M,-11.01%,FBNH
15-Jul,6.9,7.8,8,6.86,267.33M,-13.10%,FBNH
15-Jun,7.94,9.6,9.48,7.91,336.83M,-15.35%,FBNH
15-May,9.38,9.25,9.7,8.7,390.37M,5.29%,FBNH
15-Apr,8.91,8.3,9.95,7.56,940.87M,12.64%,FBNH
15-Mar,7.91,7,8.59,6.86,1.37B,12.99%,FBNH
15-Feb,7,6.45,7.23,5.77,1.09B,8.60%,FBNH
15-Jan,6.45,7.73,8,6.43,666.50M,-19.43%,FBNH
