Date,Price,Open,High,Low,Vol.,Change %,Bank Name
20-Sep,25.15,25.6,26.9,24.1,46.29M,-1.37%,GTB
20-Aug,25.5,22.5,25.8,22.5,386.31M,13.33%,GTB
20-Jul,22.5,22.05,23.3,20.6,328.92M,2.04%,GTB
20-Jun,22.05,24,25.3,22.05,539.82M,-8.13%,GTB
20-May,24,21,25.1,20.95,580.96M,14.29%,GTB
20-Apr,21,17.7,21.9,17.25,822.38M,18.64%,GTB
20-Mar,17.7,23.8,25.7,16.7,1.87B,-25.63%,GTB
20-Feb,23.8,30,31,23.8,767.77M,-20.67%,GTB
20-Jan,30,29.7,34.4,29.15,485.31M,1.01%,GTB
19-Dec,29.7,30.45,30.4,27.95,402.32M,-2.46%,GTB
19-Nov,30.45,24.9,30.45,24.65,335.77M,22.29%,GTB
19-Oct,24.9,29.2,29,24.9,493.33M,-14.73%,GTB
19-Sep,29.2,27.35,30.5,26.05,771.72M,6.76%,GTB
19-Aug,27.35,28.4,28.6,25.7,561.12M,-3.70%,GTB
19-Jul,28.4,32.9,31.25,26.65,393.13M,-13.68%,GTB
19-Jun,32.9,31.6,32.9,30.35,616.26M,4.11%,GTB
19-May,31.6,33,33.45,30.3,413.07M,-4.24%,GTB
19-Apr,33,36.05,36.5,32,437.66M,-8.46%,GTB
19-Mar,36.05,35.35,38,35.15,300.58M,1.98%,GTB
19-Feb,35.35,33.45,39.15,33.45,604.25M,5.68%,GTB
19-Jan,33.45,34.45,34.55,30.9,469.59M,-2.90%,GTB
18-Dec,34.45,34.35,36,33.6,266.27M,0.29%,GTB
18-Nov,34.35,37.5,38,34,333.53M,-8.40%,GTB
18-Oct,37.5,36.55,38.5,36.25,530.57M,2.60%,GTB
18-Sep,36.55,36,37.75,31.95,619.64M,1.53%,GTB
18-Aug,36,40.05,40.4,36,238.83M,-10.11%,GTB
18-Jul,40.05,40.5,42,36.55,314.31M,-1.11%,GTB
18-Jun,40.5,40.45,44,38.65,535.12M,0.00%,GTB
18-May,40.5,44.1,45.65,40,630.10M,-10.00%,GTB
18-Apr,45,44.7,45.45,42.2,490.19M,0.67%,GTB
18-Mar,44.7,49,49.4,41,447.44M,-8.78%,GTB
18-Feb,49,49.15,49.5,45,262.80M,-0.31%,GTB
18-Jan,49.15,39.05,57,39.05,482.02M,20.61%,GTB
17-Dec,40.75,42.01,43.45,39.03,415.42M,-5.23%,GTB
17-Nov,43,42,43.1,41,218.75M,2.38%,GTB
17-Oct,42,39.98,42.15,39.16,295.54M,5.00%,GTB
17-Sep,40,38.65,40.1,37,491.91M,2.07%,GTB
17-Aug,39.19,38.5,41.2,36.59,597.32M,0.36%,GTB
17-Jul,39.05,34.5,42,33.81,338.33M,12.15%,GTB
17-Jun,34.82,33.9,36.21,32.73,501.16M,2.38%,GTB
17-May,34.01,26.18,37,26.18,649.07M,27.71%,GTB
17-Apr,26.63,24.52,27.35,24.04,186.85M,6.95%,GTB
17-Mar,24.9,24.66,27.15,24.04,265.21M,0.81%,GTB
17-Feb,24.7,23.7,24.88,22.9,194.42M,4.22%,GTB
17-Jan,23.7,24,24.7,22.9,126.28M,-4.05%,GTB
16-Dec,24.7,22.41,25.6,22.41,214.75M,9.05%,GTB
16-Nov,22.65,24,24,20.33,237.86M,-3.62%,GTB
16-Oct,23.5,25,25.68,22.86,222.14M,-2.08%,GTB
16-Sep,24,26.3,27.67,23.9,413.04M,-9.43%,GTB
16-Aug,26.5,23.2,26.8,23.1,668.01M,10.19%,GTB
16-Jul,24.05,22.82,24.3,20.71,369.56M,3.40%,GTB
16-Jun,23.26,18.56,25.12,16.91,756.46M,19.10%,GTB
16-May,19.53,16.5,21.59,16.5,357.16M,16.46%,GTB
16-Apr,16.77,14.99,16.9,13.66,413.05M,17.27%,GTB
16-Mar,14.3,16.74,17.8,13.95,550.93M,-10.62%,GTB
16-Feb,16,17.3,17.5,15.31,548.84M,-4.71%,GTB
16-Jan,16.79,18.99,18.85,13.16,667.87M,-7.65%,GTB
15-Dec,18.18,20,20.1,18.06,547.19M,-9.10%,GTB
15-Nov,20,23.6,23.7,20,546.30M,-13.38%,GTB
15-Oct,23.09,24.49,24.52,22.19,321.64M,-3.79%,GTB
15-Sep,24,24.06,25.15,22.12,365.77M,4.71%,GTB
15-Aug,22.92,24.13,25.67,19.91,584.38M,-0.30%,GTB
15-Jul,22.99,27.01,27.8,21.91,338.35M,-14.88%,GTB
15-Jun,27.01,29,29.11,26.25,339.32M,-6.70%,GTB
15-May,28.95,28.85,30.01,28.36,263.10M,0.70%,GTB
15-Apr,28.75,27.56,31.88,26.68,534.52M,9.52%,GTB
15-Mar,26.25,23.72,26.76,21.38,444.18M,11.70%,GTB
15-Feb,23.5,20.3,23.8,16.69,653.95M,17.32%,GTB
15-Jan,20.03,24.02,25.59,17.39,543.48M,-20.45%,GTB
