Date,Price,Open,High,Low,Vol.,Change %,Bank Name
20-Sep,6.15,6.3,6.8,6.05,8.12M,-1.60%,UBA
20-Aug,6.25,6.2,6.75,6.2,198.82M,0.81%,UBA
20-Jul,6.2,6.25,6.5,5.95,296.65M,-0.80%,UBA
20-Jun,6.25,6.65,6.95,6.15,217.28M,-6.02%,UBA
20-May,6.65,6.05,7.25,5.8,342.96M,9.92%,UBA
20-Apr,6.05,5,6.5,4.85,461.52M,21.00%,UBA
20-Mar,5,6.7,7.25,4.4,1.13B,-25.37%,UBA
20-Feb,6.7,8,8.25,6.3,517.44M,-16.25%,UBA
20-Jan,8,7.1,9.25,7.05,853.76M,11.89%,UBA
19-Dec,7.15,7.05,7.2,6.5,376.32M,1.42%,UBA
19-Nov,7.05,5.8,8.1,5.75,637.30M,21.55%,UBA
19-Oct,5.8,6.15,6.2,5.65,220.93M,-5.69%,UBA
19-Sep,6.15,5.85,6.5,6,197.59M,5.13%,UBA
19-Aug,5.85,6,6.1,5.4,241.95M,-2.50%,UBA
19-Jul,6,6.2,6.3,5.45,460.12M,-3.23%,UBA
19-Jun,6.2,6.25,6.5,6.05,247.10M,-0.80%,UBA
19-May,6.25,6.8,6.95,5.6,543.04M,-8.09%,UBA
19-Apr,6.8,7.7,7.8,5.8,449.96M,-11.69%,UBA
19-Mar,7.7,7.45,8.1,7.45,386.17M,3.36%,UBA
19-Feb,7.45,6.8,8.4,6.95,698.58M,9.56%,UBA
19-Jan,6.8,7.7,7.95,6.55,479.75M,-11.69%,UBA
18-Dec,7.7,7.5,8,7.4,251.07M,2.67%,UBA
18-Nov,7.5,7.9,8,7.05,180.46M,-5.06%,UBA
18-Oct,7.9,8.4,8.4,7.85,207.67M,-5.95%,UBA
18-Sep,8.4,8,8.45,7,393.64M,5.00%,UBA
18-Aug,8,9.55,9.85,7.9,824.47M,-16.23%,UBA
18-Jul,9.55,10.5,10.5,9.1,583.79M,-9.05%,UBA
18-Jun,10.5,11,11.55,10.35,544.56M,-2.78%,UBA
18-May,10.8,11.4,11.9,10.1,498.42M,-6.49%,UBA
18-Apr,11.55,11.55,11.95,10.6,862.36M,-1.70%,UBA
18-Mar,11.75,12.5,13.4,11,394.94M,-7.48%,UBA
18-Feb,12.7,12.7,13,11.15,396.44M,0.00%,UBA
18-Jan,12.7,10.38,13.5,10.3,672.80M,23.30%,UBA
17-Dec,10.3,9.9,11.15,9.81,451.39M,3.00%,UBA
17-Nov,10,9.6,10,9.32,386.30M,4.17%,UBA
17-Oct,9.6,8.64,9.65,8.64,498.10M,11.11%,UBA
17-Sep,8.64,9.1,9.1,8.41,187.82M,-5.05%,UBA
17-Aug,9.1,9.7,10.18,9,430.45M,-6.19%,UBA
17-Jul,9.7,8.98,10.49,8.12,2.96B,10.73%,UBA
17-Jun,8.76,7.56,9.47,7.56,988.12M,16.80%,UBA
17-May,7.5,5.77,7.85,5.77,662.12M,28.87%,UBA
17-Apr,5.82,5.3,5.89,5.07,192.04M,0.87%,UBA
17-Mar,5.77,4.95,5.95,4.95,481.14M,15.40%,UBA
17-Feb,5,4.88,5.1,4.6,218.61M,4.82%,UBA
17-Jan,4.77,4.5,5.22,4.41,257.78M,6.00%,UBA
16-Dec,4.5,4.26,4.64,4.25,365.09M,4.65%,UBA
16-Nov,4.3,4.13,4.35,4.13,230.53M,1.18%,UBA
16-Oct,4.25,4.1,4.39,4.01,289.94M,1.19%,UBA
16-Sep,4.2,4.35,4.6,4.07,480.53M,-3.45%,UBA
16-Aug,4.35,4.6,4.77,4.01,624.87M,-4.40%,UBA
16-Jul,4.55,4.84,4.78,4.2,624.83M,-3.19%,UBA
16-Jun,4.7,4.52,5.15,3.89,1.25B,-1.05%,UBA
16-May,4.75,3.48,5.36,3.35,614.30M,39.71%,UBA
16-Apr,3.4,3.02,3.52,2.94,538.81M,8.28%,UBA
16-Mar,3.14,2.88,3.96,2.83,471.82M,9.03%,UBA
16-Feb,2.88,3,3.06,2.72,462.41M,-0.35%,UBA
16-Jan,2.89,3.5,3.46,2.48,517.29M,-14.50%,UBA
15-Dec,3.38,3.74,3.93,3.33,325.35M,-11.05%,UBA
15-Nov,3.8,3.5,3.8,3.44,435.56M,8.57%,UBA
15-Oct,3.5,4.29,4.5,3.42,347.06M,-16.86%,UBA
15-Sep,4.21,3.47,4.31,3.21,750.32M,27.19%,UBA
15-Aug,3.31,4.2,4.39,2.86,907.96M,-21.38%,UBA
15-Jul,4.21,4.77,4.95,4.02,306.51M,-15.63%,UBA
15-Jun,4.99,5.35,5.41,4.81,673.53M,-7.59%,UBA
15-May,5.4,5.29,5.55,4.98,1.39B,2.08%,UBA
15-Apr,5.29,4.26,6,4.26,983.43M,30.30%,UBA
15-Mar,4.06,3.5,4.33,3.33,961.64M,17.00%,UBA
15-Feb,3.47,3.52,3.9,2.9,575.89M,-0.86%,UBA
15-Jan,3.5,4.09,4.35,3.44,317.86M,-18.60%,UBA
