Date,Price,Open,High,Low,Vol.,Change %,Bank Name
20-Sep,17.2,16.7,17.55,16.05,18.78M,2.69%,ZENITHB
20-Aug,16.75,16.3,17,16.3,406.07M,2.76%,ZENITHB
20-Jul,16.3,16.1,16.85,14.8,277.83M,1.24%,ZENITHB
20-Jun,16.1,16.9,17.35,15.8,341.19M,-4.73%,ZENITHB
20-May,16.9,14.3,18,14.2,692.28M,18.18%,ZENITHB
20-Apr,14.3,11.7,15.9,10.95,728.83M,22.22%,ZENITHB
20-Mar,11.7,18.5,20.1,10.7,2.46B,-36.76%,ZENITHB
20-Feb,18.5,20.85,21.1,17.3,905.94M,-11.27%,ZENITHB
20-Jan,20.85,18.6,23,18.6,1.05B,12.10%,ZENITHB
19-Dec,18.6,18.6,18.9,18.15,452.60M,0.00%,ZENITHB
19-Nov,18.6,17,20,16.95,1.29B,9.41%,ZENITHB
19-Oct,17,18.7,18.7,16.8,877.75M,-9.09%,ZENITHB
19-Sep,18.7,17.2,19.6,17.35,297.79M,8.72%,ZENITHB
19-Aug,17.2,18.3,19.45,16,446.86M,-6.01%,ZENITHB
19-Jul,18.3,19.8,19.8,18.3,449.48M,-7.58%,ZENITHB
19-Jun,19.8,20.1,20.5,19.8,1.12B,-1.49%,ZENITHB
19-May,20.1,21.3,21.5,18.7,456.71M,-5.63%,ZENITHB
19-Apr,21.3,21.8,21.9,20.1,452.59M,-2.29%,ZENITHB
19-Mar,21.8,23.9,25.2,21.2,669.54M,-8.79%,ZENITHB
19-Feb,23.9,22.5,26.85,22.7,686.01M,6.22%,ZENITHB
19-Jan,22.5,23.05,23.45,20,548.90M,-2.39%,ZENITHB
18-Dec,23.05,23.2,24,22.3,530.47M,-0.65%,ZENITHB
18-Nov,23.2,23.5,24.4,23,1.12B,-1.28%,ZENITHB
18-Oct,23.5,21.5,24.5,21.45,364.49M,9.30%,ZENITHB
18-Sep,21.5,21,21.9,19.6,396.94M,2.38%,ZENITHB
18-Aug,21,23,24.25,20.4,391.70M,-8.70%,ZENITHB
18-Jul,23,25.5,25.5,22.9,520.18M,-8.00%,ZENITHB
18-Jun,25,25.9,28.2,24.5,483.53M,-1.96%,ZENITHB
18-May,25.5,27.7,29,25.3,718.54M,-7.10%,ZENITHB
18-Apr,27.45,30.5,30.7,25.65,774.37M,-6.31%,ZENITHB
18-Mar,29.3,31.85,32,26.8,1.01B,-8.15%,ZENITHB
18-Feb,31.9,31.05,32.65,28.5,349.16M,2.90%,ZENITHB
18-Jan,31,25.67,34.2,25.67,773.54M,20.90%,ZENITHB
17-Dec,25.64,25,27.8,24.6,698.56M,2.85%,ZENITHB
17-Nov,24.93,25.6,26,23.8,546.24M,-2.20%,ZENITHB
17-Oct,25.49,23.4,27.17,23.4,369.60M,8.93%,ZENITHB
17-Sep,23.4,23,24,22,278.32M,1.74%,ZENITHB
17-Aug,23,25,25.4,22.15,620.44M,-6.54%,ZENITHB
17-Jul,24.61,20.2,26.99,19.71,563.38M,17.81%,ZENITHB
17-Jun,20.89,19.24,23,19,821.07M,10.24%,ZENITHB
17-May,18.95,15.03,20.94,15,1.12B,27.18%,ZENITHB
17-Apr,14.9,14.25,15.03,14.1,256.43M,6.05%,ZENITHB
17-Mar,14.05,14.8,14.98,13.1,780.02M,-4.42%,ZENITHB
17-Feb,14.7,15.95,15.99,14.7,518.79M,-6.37%,ZENITHB
17-Jan,15.7,14.52,16,14.4,232.21M,6.44%,ZENITHB
16-Dec,14.75,13.96,14.9,13.79,224.01M,6.88%,ZENITHB
16-Nov,13.8,14.9,15.3,13.3,227.78M,-6.12%,ZENITHB
16-Oct,14.7,15.5,15.59,14.21,201.11M,-3.35%,ZENITHB
16-Sep,15.21,15,15.9,14.2,296.59M,2.08%,ZENITHB
16-Aug,14.9,16.53,16.95,14.8,432.46M,-11.89%,ZENITHB
16-Jul,16.91,16,16.99,14.87,356.64M,7.23%,ZENITHB
16-Jun,15.77,14.24,18.05,13.53,738.49M,5.27%,ZENITHB
16-May,14.98,12.9,17.45,12.8,561.76M,17.95%,ZENITHB
16-Apr,12.7,11,12.77,10.35,315.51M,18.14%,ZENITHB
16-Mar,10.75,11.57,13.42,10.52,631.61M,-2.89%,ZENITHB
16-Feb,11.07,13.24,13.84,10.87,570.20M,-12.21%,ZENITHB
16-Jan,12.61,14.5,14.4,8.83,615.98M,-10.25%,ZENITHB
15-Dec,14.05,15.6,16.14,13.27,320.44M,-9.94%,ZENITHB
15-Nov,15.6,17.6,17.98,15.2,539.47M,-11.36%,ZENITHB
15-Oct,17.6,16.8,18,15.97,548.13M,4.70%,ZENITHB
15-Sep,16.81,15.8,18.85,14.6,899.94M,10.59%,ZENITHB
15-Aug,15.2,16.4,17.41,13.72,966.76M,-5.35%,ZENITHB
15-Jul,16.06,19.4,19.45,16.06,1.76B,-16.57%,ZENITHB
15-Jun,19.25,21.5,21.51,19.18,713.97M,-10.21%,ZENITHB
15-May,21.44,21.52,23.25,20.75,338.63M,1.37%,ZENITHB
15-Apr,21.15,22.02,25.48,20.8,638.59M,0.81%,ZENITHB
15-Mar,20.98,17.6,23.07,16.46,664.30M,19.20%,ZENITHB
15-Feb,17.6,16,19,15.42,503.76M,9.93%,ZENITHB
15-Jan,16.01,18.41,18.5,14.54,540.33M,-13.04%,ZENITHB
